id,Name,first_name,last_name,birth_date,canton_de,canton_fr,canton_it,NR_de,NR_fr,NR_it,SR_de,SR_fr,SR_it,party_de,party_fr,party_it,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
5366,Andreas Spindler,Andreas,Spindler,04.10.1968,Basel-Landschaft,Bâle-Campagne,Basilea-Campagna,Nationalrat,Conseil national,Consiglio nazionale,,,,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Ja,Ja,Eher Ja,Ja,Ja,Eher Ja,Ja,Keine Antwort,Eher Ja,Eher Ja,Eher Ja,Eher Ja,Ja,Ja
5367,Coral Tanguy,Coral,Tanguy,31.07.2005,Freiburg,Fribourg,Friburgo,Nationalrat,Conseil national,Consiglio nazionale,,,,Junge SVP,Jeunes UDC,Giovani UDC,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein
5368,Laure Haldimann ,Laure,Haldimann,24.01.1985,Freiburg,Fribourg,Friburgo,Nationalrat,Conseil national,Consiglio nazionale,,,,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Ja,Ja,Nein,Nein,Eher Ja,Ja,Nein,Eher Nein,Ja,Eher Ja,Ja,Nein,Ja,Ja
5369,Sascha Schmid,Sascha,Schmid,21.11.1993,St. Gallen,St-Gall,San Gallo,Nationalrat,Conseil national,Consiglio nazionale,,,,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Ja,Ja,Keine Antwort,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Keine Antwort,Eher Ja,Nein
5370,Silvio Foiera,Silvio,Foiera,02.06.1979,Zürich,Zurich,Zurigo,Nationalrat,Conseil national,Consiglio nazionale,,,,Eidgenössisch-Demokratische Union,Union Démocratique Fédérale,Unione Democratica Federale,Ja,Eher Nein,Ja,Ja,Ja,Nein,Ja,Eher Ja,Ja,Ja,Eher Ja,Eher Ja,Ja,Eher Nein
5371,Kurt Kälin,Kurt,Kälin,24.11.1969,St. Gallen,St-Gall,San Gallo,Nationalrat,Conseil national,Consiglio nazionale,,,,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Eher Ja,Eher Nein,Ja,Eher Nein
5372,Bostan Bilali,Bostan,Bilali,15.04.1994,Zürich,Zurich,Zurigo,Nationalrat,Conseil national,Consiglio nazionale,,,,Piratenpartei Schweiz,Parti Pirate Suisse,Partito Pirata Svizzero,Eher Ja,Ja,Keine Antwort,Ja,Ja,Eher Ja,Ja,Keine Antwort,Ja,Nein,Ja,Keine Antwort,Ja,Ja
5373,Yannik Hälg,Yannik,Hälg,11.10.1996,Zürich,Zurich,Zurigo,Nationalrat,Conseil national,Consiglio nazionale,,,,Junge SVP,Jeunes UDC,Giovani UDC,Ja,Eher Ja,Eher Nein,Eher Ja,Eher Ja,Eher Nein,Ja,Ja,Nein,Ja,Eher Ja,Eher Nein,Ja,Eher Nein
5374,Jorgo Ananiadis,Jorgo,Ananiadis,01.10.2023,Bern,Berne,Berna,Nationalrat,Conseil national,Consiglio nazionale,Ständerat,Conseil des Etats,Consiglio degli Stati,Piratenpartei Schweiz,Parti Pirate Suisse,Partito Pirata Svizzero,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
5375,Pat Andrea Mächler,Pat Andrea,Mächler,26.04.1983,Zürich,Zurich,Zurigo,Nationalrat,Conseil national,Consiglio nazionale,,,,Piratenpartei Schweiz,Parti Pirate Suisse,Partito Pirata Svizzero,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
5376,Pascal Fouquet,Pascal,Fouquet,01.01.1981,Bern,Berne,Berna,Nationalrat,Conseil national,Consiglio nazionale,Ständerat,Conseil des Etats,Consiglio degli Stati,Piratenpartei Schweiz,Parti Pirate Suisse,Partito Pirata Svizzero,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja
5377,Philippe (Pipo) Burger,Philippe (Pipo),Burger,07.10.1988,Zürich,Zurich,Zurigo,Nationalrat,Conseil national,Consiglio nazionale,,,,Piratenpartei Schweiz,Parti Pirate Suisse,Partito Pirata Svizzero,Ja,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Eher Ja,Ja,Ja,Ja,Ja
5378,Yves Helfenberger,Yves,Helfenberger,06.12.1996,Zürich,Zurich,Zurigo,Nationalrat,Conseil national,Consiglio nazionale,,,,Junge SVP,Jeunes UDC,Giovani UDC,Ja,Ja,Eher Nein,Eher Nein,Eher Ja,Ja,Ja,Eher Ja,Ja,Eher Ja,Eher Ja,Eher Nein,Eher Ja,Eher Ja
5379,Carmen Senoran,Carmen,Senoran,27.12.1981,Zürich,Zurich,Zurigo,Nationalrat,Conseil national,Consiglio nazionale,,,,Schweizerische Volkspartei,Union Démocratique du Centre,Unione democratica di Centro,Ja,Ja,Eher Ja,Eher Ja,Eher Nein,Eher Ja,Ja,Keine Antwort,Ja,Eher Ja,Eher Ja,Keine Antwort,Eher Nein,Nein
